"abbreviation","author_latin","author_english","modern_geographic_identity","ancient_geographic_identity","pleiades_id","century","date_of_birth","date_of_death","floruit","late_antique","christian","reprlat","reprlong"
"Maecius.","Spurius Maecius Tarpa",,"Rome, Italy","Roma, Italia","423025","BCE 1",,,,,,"41.891737499999998","12.4861685"
"Hor.","Horatius Flaccus, Quintus","Horace","Rome, Italy","Roma, Italia","423025","BCE 1","BCE 65","CE 8",,"N","N","41.891737499999998","12.4861685"
"Horm.","Hormisdas I Papa",,"Frosinone, Italy","Frusino, Italia","423025","CE 6",,"CE 523",,"Y","Y","41.891737499999998","12.4861685"
"Steph.","Stephanus I",,"Rome, Italy","Roma, Italia","423025","CE 3",,,,,"Y","41.891737499999998","12.4861685"
"Hort.","Hortensius Hortalus, Quintus",,"Rome, Italy","Roma, Italia","423025","BCE 1","BCE 114","BCE 49",,"N","N","41.891737499999998","12.4861685"
"Sulpicia.","Sulpicia I","Sulpicia","Rome, Italy","Roma, Italia","423025","BCE 1",,,,"N","N","41.891737499999998","12.4861685"
"Sulpicia.II.","Sulpicia II, Caleni uxor","Sulpicia","Rome, Italy","Roma, Italia","423025","CE 1",,,,"N","N","41.891737499999998","12.4861685"
"Mod.Eg.","Modo egens repente dives",,"Rome","Roma","423025",,,,,,,"41.891737499999998","12.4861685"
"Fel.IV.","Felix IV",,"Central Italy","Roma, Italia (Pope) / Samnium, Italia","423025 (Pope) / 433078","CE 6",,,,"Y","Y",,
"Faust.etMarc.","Faustinus/Marcellinus",,"Rome, Italy / ","Roma, Italia / ","423025 / ","CE 4",,,,"Y","Y",,
"Var.","Marcus Terentius Varro Reatinus","Varro","Rome, Italy / Rieti, Italy","Roma, Italia / Reate, Italia","423025 / 413283","BCE 1","BCE 116","BCE 27",,"N","N",,
"Tir.","Marcus Tullius Tiro",,"Rome, Italy / Arpino, Italy","Roma, Italia / Arpinum, Italia","423025 / 432700","BCE 1 -CE 1",,,,"N","N",,
"Tiber.","Tiberius Caesar Augustus","Tiberius","Rome, Italy / Capri","Roma, Italia / Capreae insula","423025 / 432752","BCE 1 - CE 1","BCE 42","CE 37","CE 14-37",,,,
"V.Sor.","Quintus Valerius Soranus",,"Rome, Italy / Sora, Italy","Roma, Italia / Sora, Italia","423025 / 433126","BCE 2-1",,,,"N","N",,
"At.","Titus Pomponius Atticus","Atticus","Rome, Italy / Athens, Greece","Roma, Italia / Athenae, Graecia","423025 / 579885","BCE 1","BCE 110","BCE 3-2",,"N","N",,
"Scaur.Fil.","Marcus Aemilius Scaurus filius",,"Rome, Italy / Damascus, Syria","Roma, Italia / Damascus, Syria","423025 / 678106","BCE 1",,,,,,,
"Cluv.","Cluvius Rufus",,"Rome, Italy / Spain","Roma, Italia / Hispania Tarraconensis","423025 / 981551","CE 1",,,,,,,
"Hon.I.","Honorius I",,"Rome, Italy / Campania, Italy","Roma, Italia / Campania, Italia","423025 / 991350","CE 7",,,"c. CE 625-638",,"Y",,
"Arn.-I.","Arnobius Iunior","Arnobius the Younger","Rome, Italy / Gaul","Roma, Italia / Gallia","423025 / 993","CE 5",,,"CE 460","Y","Y",,
"Aem.Paul.","Lucius Aemilius L.f.M.n. Paulus",,"Rome, Italy / Macedonia","Roma, Italia / Macedonia","423025/981531","BCE 3-2","c. BCE 230","BCE 160",,,,,
"Val.","Aburnus Valens","Valens","Sabina, Italy","Sabinium, Italia","423028","CE 2","CE 100",,"CE 117-161?","N","N","41.875","12.625"
"Planc.","Lucius Munatius Plancus",,"Tivoli, Italy (born) / Rome, Italy / Gaeta, Italy (dead)","Tibur, Italia (born) / Roma, Italia / Caieta, Italia (dead)","423081 / 423025 / 432734","BCE 1","c. BCE 87","c. BCE 15",,,,,
"Caecil.Ep.","Quintus Caecilius Epirota",,"Tuscolo, Italy","Tusculum, Italia","423108","BCE 1",,,,,,"41.798335766699999","12.710358966699999"
"Iuv.","Decimus Iunius Iuvenalis","Juvenal","Aquino, Italia","Aquinum, Italia","432695","CE 1-2",,,"c. CE 100","N","N","41.496895666699999","13.6959525333"
"Eugipp.","Eugipius","Eugippius","Castel dell'Ovo (Naples), Italy","Abbot of Lucullanum, Italia","432716","CE 5","CE c. 455","CE c. 535",,"Y","Y","40.818196499999999","14.0683355"
"Eug.","Eugipius","Eugippius","Castel dell'Ovo (Naples), Italy","Abbot of Lucullanum, Italia","432716","CE 5","CE c. 455","CE c. 535",,"Y","Y","40.818196499999999","14.0683355"
"Orb.","Lucius Orbilius Pupillus",,"Benevento, Italy","Beneventum, Italia","432721","BCE 1",,,,"N","N","41.130437000000001","14.781161000000001"
"Iac.","Iacobus Caietanus",,"Gaeta, Italy","Caieta, Italia","432734",,,,,,"Y","41.214072000000002","13.570989000000001"
"Iac.Diac.","Iacobus Diaconus; Eustochius interpres",,"Gaeta, Italy","Caieta, Italia","432734",,,,,,"Y","41.214072000000002","13.570989000000001"
"Vict.-Cap.","Victor Capuanus",,"Capua, Italy","Capua, Italia","432754","CE 6",,,,"Y","Y","41.086092499999999","14.250207"
"Tib.","Tibullus, Albius","Tibullus","Central Italy (Born) / Rome, Italy","Latium, Italia (Born) Roma, Italia","432900 / 423025","BCE 1","c. BCE 54","c. BCE 19",,"N","N",,
