"abbreviation","author_latin","author_english","modern_geographic_identity","ancient_geographic_identity","pleiades_id","century","date_of_birth","date_of_death","floruit","late_antique","christian","reprlat","reprlong"
"Mac.","Ambrosius Theodosius Macrobius","Macrobius","Unknown","Unknown"," ","CE 5",,"c. CE 423",,"Y","Y",,
"Lucul.","Luculentus",,"Unknown","Unknown"," ",,,,,"Y","Y",,
"Archidiaconus.","Archidiaconus quidam",,"Unknown","Unknown"," ","?","?",,"?",,"Y",,
"Anton.-Discip.","Antonius discipulus Simeonis Stylitae",,"Unknown","Unknown"," ","CE 6?",,,,,"Y",,
"Asc.","Anonymous",,"Unknown","Unknown"," ","CE 4",,,,"Y","N",,
"Amp.","Lucius Ampelius",,"Unknown","Unknown"," ","CE 3-4 ",,,,"Y","N",,
"Candid.","Candidus Arianus",,"Unknown","Unknown"," ","CE 4",,,"350-c. CE 372","Y","Y",,
"Lon.","Lonegisilus Buciacensis",,"Unknown","Unknown"," ",,,,,,"Y",,
"Zac.-Chris","Zacchaeus Christianus",,"Unknown","Unknown"," ","CE 5",,,,"Y",,,
"Marcell.Mem.","Marcellus Memoralis",,"Unknown","Unknown"," ","CE 5",,,,"Y","Y",,
"Leod.","Leodevaldus",,"Unknown","Unknown"," ",,,,,,"Y",,
"Vinc.Lir.","Vincentius Lirensis",,"Unknown","Unknown"," ","CE 5",,,"CE 434","Y",,,
"Marc.Cass.","Marcus Cassinensis",,"Unknown","Unknown"," ","CE 7",,,,"Y","Y",,
"Lac.Plac.","Lactantius Placidus",,"Unknown","Unknown"," ","CE 4",,,,"Y",,,
"Iustin.","Marcus Iunianus Iustinus",,"Unknown","Unknown"," ","CE 3",,,,"Y","N",,
"Ius.","Iustinus",,"Unknown","Unknown"," ","CE 3",,,,"Y","N",,
"Caelestin.","Coelestinus I",,"Unknown","Unknown"," ","CE 5",,,"CE 422-432","Y","Y",,
"Vig.Diac.","Vigilius Diaconus",,"Unknown","Unknown"," ","CE 6",,,,"Y",,,
"Vitruv.","Marcus Vitruvius Pollio","Vitruvius","Unknown","Unknown"," ","BCE 1","c. BCE 80","c. BCE 20",,"N","N",,
"Mar.Merc.","Marius Mercator",,"Unknown","Unknown"," ","CE 5",,,,"Y","Y",,
"Coel.-Sed.","Coelius Sedulius",,"Unknown","Gallia meridionali or Hispania septentrionali"," ","CE 5",,,"c. CE 425-450","Y","Y",,
"Coel.Sym.","Coelius Symphosius",,"Unknown","Unknown"," ","CE 4-5",,,,"Y","Y",,
"Iul.V.","Iulius Valerius Alexander Polemius",,"Unknown","Unknown"," ","CE 4",,,,"Y","N",,
"Vib.","Vibius Sequester",,"Unknown","Unknown"," ","CE 4",,,,"Y","N",,
"Iul.S.","Iulius Seuerianus",,"Unknown","Unknown"," ","CE 5",,,,"Y","N",,
"Iul.P.","Iulius Paris",,"Unknown","Unknown"," ","CE 4",,,,"Y","N",,
"Iul.Obs.","Iulius Obsequens",,"Unknown","Unknown"," ","CE 4",,,,"Y","Y",,
"Hilarian.","Iulius Hilarianus",,"Unknown","Unknown"," ","CE 4",,,,"Y","Y",,
"Turc.Ruf.Ast","Turcius Rufus Asterius",,"Unknown","Unknown"," ","CE 5",,,,"Y","Y",,
"Maur.","Maurini",,"Unknown","Unknown"," ",,,,,,"Y",,
"Trif.","Trifolius Presbyter",,"Unknown","Unknown"," ","CE 6",,,"CE 520","Y","Y",,
"Aqui.","Aquila Romanus",,"Unknown","Unknown"," ","CE 3","?",,"a. CE 250","Y","N",,
"Serv.","Maurus Servius Honoratus",,"Unknown","Unknown"," ","CE 4-5",,,"CE 400","Y","N",,
"Ioan.M.","Iohannes Moschus",,"Unknown","Unknown"," ","CE 6","CE 550","CE 619",,"Y","Y",,
"Ioan.M.","Ioannes Moschus",,"Unknown","Unknown"," ","CE 6","CE 550","CE 619",,"Y","Y",,
"Ian.Nep.","Ianuarius Nepotianus",,"Unknown","Unknown"," ","CE 5",,,,"Y","Y",,
"Steph. Abb.","Stephanus Abbas",,"Unknown","Unknown"," ","CE 6",,,,"Y","Y",,
"Soph.","Sophronius Ierosolymitanus; Paulus diaconus ",,"Unknown","Unknown"," ",,,,,,"Y",,
"Mon. Ben.","Monachi Benedictini Solesmenses",,"Unknown","Unknown"," ","CE 6",,,,"Y","Y",,
"Nazar.","Nazarius",,"Unknown","Unknown"," ","CE 4",,,,"Y","Y",,
"Siseb.","Sisebutus, rex Visigothorum",,"Ruled over part of Portugal, Spain and S France","Hispania, Septimania and Galicia"," ","CE 7",,,"CE 612-620",,,,
"Siseb.","Sisebutus","Sisebut","Ruled over part of Portugal, Spain and S France","Hispania, Septimania and Galicia"," ","CE 7",,,"CE 612-620",,"Y",,
"Nov.-Cath","Novatus Catholicus",,"Unknown","Unknown"," ","CE 5",,,,"Y",,,
"Ant.Mus.","Antonius Musa",,"Unknown","Unknown"," ","BCE 1","?",,"BCE 23 (?CERL)",,"N",,
"Anon.Val.","Anonymus Valesianus",,"Unknown","Unknown"," ","CE 4",,,,"Y","N",,
"DeBel.Caes.Pomp.","Anonymous",,"Unknown","Unknown"," ",,,,,"?","N",,
"Car.Pass.Dom.","Anonymous",,"France","Gallus"," ","CE 5-6",,,,,"Y",,
"Lib.DePraenom.","Anonymous",,"Unknown","Unknown"," ",,,,,,,,
"Dag.I.","Dagobertus I Francorum",,"Approximately Belgium, S. Netherlands, W Germany, and NE France","Austrasia"," ","CE 7",,"c. CE 639",,,"Y",,
"Epist.Alex.","Anonymous",,"Unknown","Unknown"," ",,,,,"?","N",,
"Aul.Gel.","Aulus Gellius",,"Unknown","Unknown"," ","CE 2","CE 123","c. CE 165",,,,,
"Hist.Apoll.A.","Anonymous",,"Unknown","Unknown"," ","CE 5-6",,,,"Y","N",,
"Paul. et Steph.","Paulus Abbas et Stephanus Abbas",,"Unknown","Unknown"," ",,,,,,,,
"Solin.","Gaius Iulius Solinus",,"Unknown","Unknown"," ","CE 3",,,,"Y","N",,
"Agen.","Agennius Urbicus","Aggenus Urbicus ","Unknown","Unknown"," ","CE 5","?",,"c. CE 400","Y","Y",,
"Ps.Agen.","Agennius Vrbicus (Ps.)","Agennius Vrbicus (Ps.)","Unknown","Unknown"," ","CE 6",,,"c. CE 400","Y","Y",,
"Paul.","Paulus Vinfridus",,"Unknown","Unknown"," ","CE 8",,,,"Y","Y",,
"Philoc.","Furius Dionysius Philocalus",,"Unknown","Unknown"," ","CE 4",,,,"Y","Y",,
"Ps.Aur.Vic.","Aurelius Victor Ps.",,"Unknown","Unknown"," ","CE 4",,,,"Y","N",,
"Phoc.","Phocas",,"Unknown","Unknown"," ","CE 5",,,,"Y","N",,
"Polem. Sylv.","Polemeus Sylvius",,"Unknown","Unknown"," ","CE 5",,,,"Y","Y",,
"Pedo.","Albinovanus Pedo",,"Unknown","Unknown"," ","BCE 1","?",,"?","N","N",,
"Aut.","Autbertus Cameracensis",,"Unknown","Unknown"," ","CE 7",,,,"Y","Y",,
"Flor.","Florus, Lucius/Publius Annius",,"Unknown","Unknown"," ","CE 2",,,,"Y","N",,
"Radeg.","Radegundis Regina Francorum","Radegund","Central Germany","Thuringia"," ","CE 6",,,,"Y","Y",,
"Ps.-Cypr.","Pseudo Cyprianus",,"Unknown","Unknown"," ","CE 3",,,,,"Y",,
"Ps.-Mar.-Vict.","Pseudo Marius Victorinus",,"Unknown","Unknown"," ",,,,,,"Y",,
"Anagn.","Anagnosticus regis",,"Unknown","Unknown"," ","CE 6","?",,"?","Y","Y",,
"Amoe.","Amoenus",,"Unknown","Unknown"," ","CE 5","?",,"?","Y","Y",,
"Veg.","Publius/Flavius Vegetius Renatus","Vegetius","Unknown","Unknown"," ","CE 4",,,"c. CE 390","Y",,,
"Pub.-Vic","Publius Victor",,"Unknown","Unknown"," ","CE 4",,,,"Y",,,
"Tac.","Publius Cornelius Tacitus / Gaius Cornelius Tacitus","Tacitus","Cisalpine or Narbonese Gaul (Born) / Rome, Italy","Gallia Cisalpina or Gallia Narbonensis (Born) / Roma, Italia","  for Gallia Cisalpina, 981537 / 423025","BCE 1","c. CE 55","c. CE 117",,"N","N",,
"Secund.","Secundinus Manichaeus",,"Rome, Italy or North Africa","Roma, Italy or Africa"," 423025 or 775","CE 4/5",,,,"Y","Y",,
"Ioseph./Hier./AI","Flavius Iosephus/Hieronymus Stridonensis/Auctor Incertus",,"/ Near Ljubljana, Slovenia","/ Stridon (near Labacum), Dalmatia","/ 203160",,,,,,,,
"Flav.","Flavius Gundemarus Gothorum",,"NW Spain, N Portugal","Hispania","1027",,,,"c. CE 609/612",,"Y","42.5","-7.5"
"Tar.","Tarra monachus",,"Hispania","Spain","1027","CE 7",,,,"Y","Y","42.5","-7.5"
"Aqu.-Iuv.","Gaius Vettius Aquilinus Iuvencus",,"Spain or Portugal","Hispania","1027","CE 4",,,,"Y",,"42.5","-7.5"
"Appon.","Apponius",,"Italy","Italia","1052","CE 5",,,"CE 405-415","Y","Y","42.5","12.5"
"Anth.","Anthimus",,"Italy","Italia","1052","CE 6",,,,,,"42.5","12.5"
"Sic.","Siculus Flaccus",,"Italy","Italia","1052","CE 3-4",,,,"Y","N","42.5","12.5"
"Leo-Sen.","Leo Senonensis",,"Sens, France","Agedincum, Gallia Lugdunensis","108729","CE 6",,,,"Y","Y","48.197888499999998","3.2855854999999998"
"Lupus.","Lupus Trecensis",,"Troyes, France","Augustabona, Gallia Lugdunensis","108775","CE 5",,,,"Y","Y","48.297472999999997","4.0748059999999997"
"Nicet.Tr.","Nicetius Trevirensis",,"Trier, Germany","Augusta Treverorum, Gallia Belgica","108894","CE 6",,,,"Y","Y","49.754978999999999","6.6449885000000002"
"Remig.","Remigius Rhemensis",,"Reims, France","Durocortorum, Gallia Belgica","108945","CE 6",,,,"Y","Y","49.256154700000003","4.0320508999999998"
"Map.","Mapinius Remensis",,"Reims, France","Durocortorum, Gallia Belgica","108945","CE 6",,,,"Y","Y","49.256154700000003","4.0320508999999998"
"Son.","Sonnatius Rhemensis",,"Reims, France","Durocortorum, Gallia Belgica","108945","CE 7",,,,,"Y","49.256154700000003","4.0320508999999998"
"Conc.Paris.","Concilium Parisiense",,"Paris, France","Lutetia, Gallia Lugdunensis","109126","CE 7",,,"CE 614","Y","Y","48.851144699999999","2.3470283749999998"
"Odo","Odo Abbas",,"Le Mans, France","Ouindinon/Subdinnum, Lugdonensis","109236","CE 10",,,,"Y",,"48.0071603333","0.19849333329999999"
"Had.","Hadoindus Cenomanensis",,"Le Mans, France","Ouindinon/Subdinnum, Lugdonensis","109236","CE 7",,,,,"Y","48.0071603333","0.19849333329999999"
"Bert.","Bertichramnus Cenomanensis",,"Le Mans, France","Ouindinon/Subdinnum, Lugdonensis","109236","CE 7","CE ?","CE 623",,"Y","Y","48.0071603333","0.19849333329999999"
"Domn.","Domnolus Cenomanensis",,"Le Mans, France","Ouindinon/Subdinnum, Lugdonensis","109236","CE 6",,,,"Y","Y","48.0071603333","0.19849333329999999"
"Siv.","Siviardus V abbas Anisolensis",,"Le Mans, France","Cenomanensus, Gallia","109236",,,,,,"Y","48.0071603333","0.19849333329999999"
"Vict.-Roth","Victricius Rothomagensis",,"Rouen, France","Rotomagus, Gallia Lugdunensis","109287","CE 4",,,,"Y","Y","49.440840999999999","1.0964510000000001"
"Ag.","Agroecius / Agroetius",,"Sens, France","Senones, Gallia","109337","CE 5",,,"c. CE 470","Y","Y","48.5","2.5"
"Ausp.","Auspicius Tullensis",,"Toul, France","Tullum, Gallia Belgica","109396","CE 5",,,"c. CE 475","Y","Y","48.679364","5.8947805000000004"
"Eleuth.","Eleutherius Tornacensis",,"Tournai, Belgium","Turnacum, Gallia Belgica","109398","CE 6",,,,"Y","Y","50.605679000000002","3.3882854999999998"
"Maur.Ter.","Terentius Maurus / Terentianus Maurus",,"Morocco","Mauretania","1119","CE 2/3",,,,"Y","N","32.5","-2.5"
"Pompil.And.","Marcus Pompilius Andronicus",,"Syria","Syria","1306","BCE 2-1",,,,,,"37.5","37.5"
"Prosp.","Prosper Aquitanus","Saint Prosper of Aquitaine","Aquitaine, France","Gallia Aquitania","138187","CE 5","c. CE 390","c. CE 455","c. CE 420-450","Y","Y","45.5","0.5"
"Sulp.","Sulpicius Severus; Ioannes Cassianus",,"SW France","Gallia Aquitania","138187",,,,,,"Y","45.5","0.5"
"Sulp.","Sulpicius Severus",,"SW France","Gallia Aquitanica","138187","CE 4","c. CE 363","c. CE 420",,"Y","Y","45.5","0.5"
"Prosp.Aquit.","Prosper Aquitanus","Saint Prosper of Aquitaine","Aquitaine, France","Gallia Aquitania","138187","CE 5","c. CE 390","c. CE 455","c. CE 420-450","Y","Y","45.5","0.5"
"Prosp.","Prosper (Tiro) Aquitanus / Walafridi Strabonis","Prosper of Aquitaine, St / Walafrid Strabo","Marseille, France / Reichenau Island, Germany","Provincia Gallia Aquitania /  Abbot of Reichenau = Berno of Reichenau","138187 / NA","CE 5/9","c. CE 390 - 463 / c. CE 808 - 849",,,"Y","Y",,
"Rur.","Ruricius, episcopus Lemovicensis",,"Limoges, France","Augustoritum, Gallia Aquitania","138203","CE 5","c. CE 430/440","post CE 507",,"Y","Y","45.828542499999998","1.2643925"
"Aun.","Aunarius Antissiodorensis",,"Auxerre, France","Autessiodurum, Gallia Lugdunensis","138206","CE 6",,"c. CE 603",,"Y","Y","47.797847500000003","3.5735389999999998"
"Auson.","Decimus Magnus Ausonius",,"Bordeaux, France","Burdigala, Aquitania","138248","CE 4","c. CE 310","c. CE 395",,"Y","N","44.842511250000001","-0.57984950000000002"
"Pacat.","Latinus Pacatus Drepanius",,"Bordeaux, France","Burdigala, Aquitania","138248","CE 4",,,,"Y","N","44.842511250000001","-0.57984950000000002"
"Marcell.Emp.","Marcellus Empiricus",,"Bordeaux, France","Burdigala, Aquitania","138248","CE 5",,,,"Y","N","44.842511250000001","-0.57984950000000002"
"DeDub.Nom.","De Dubiis Nominibus",,"Bourdeaux, France (?)","Burdigala, Gallia (?)","138248 (?)","CE 7",,,,,,,
"P.-Nol.","Meropius Pontius Paulinus","Paulinus of Nola","Bordeaux, France (born) / Nola, Italia","Burdigala, Gaul (born) / Nola, Italia","138248 / 432981","CE 4","c. CE 353","CE 431",,"Y","Y",,
"Greg.-T.","Gregorius Turonensis",,"Tours, France","Caesarodunum, Gallia Lugdunensis","138255","CE 6","CE 538",,,"Y","Y","47.392529500000002","0.69147099999999995"
"Perp.","Perpetuus Turonensis",,"Tours, France","Caesarodunum, Gallia Lugdunensis","138255","CE 5",,,,"Y","Y","47.392529500000002","0.69147099999999995"
"Mart.-Turo.","Martinus Turonensis",,"Tours, France","Caesarodunum, Gallia Lugdunensis","138255","CE 4",,,,"Y",,"47.392529500000002","0.69147099999999995"
"Hilar.","Hilarius Pictaviensis","Hilary of Poitiers","Poiteirs, France","Limonum, Gallia Aquitania","138422","CE 4","c. CE 310","c. CE 366",,"Y","Y","46.5836465","0.34599049999999998"
"Tro.","Troianus Santonensis",,"Saintes, France","Mediolanum, Gallia Aquitania","138458","CE 6",,,,"Y","Y","45.745158033300001","-0.63524143330000005"
"Gild.","Gildas Sapiens",,"Saint-Gildas-de-Rhuys, Brittany France","SE of Ouidana Limen, Gallia Lugdunensis","138506","CE 6",,,,"Y","Y","47.549999999999997","-2.8666659999999999"
"Paul.","Paulinus Petrocordiensis",,"SW France","Petrocori, Gallia Aquitania","138513","CE 5",,,,"Y","Y","45.183757033299997","0.71890223330000003"
"Ver.Rut.","Vera Ruthenensis",,"Rodez, France","Segodunum, Gallia Aquitania","138579","CE 7",,,,"Y","Y","44.350496999999997","2.5738460000000001"
"P.-Petric.","Paulinus Petricordiae",,"Périgueux, France","Vesunna","138650","CE 5","c. CE 459","c. CE 490",,"Y","Y","45.183757033299997","0.71890223330000003"
"Hilar.","Hilarius Episcopus Pictaviensis ",,"Vieux-Poitiers, France","Lemonum, civitas Pictonum, Pictone","138656","CE 4","c. CE 310","c. CE 367",,"Y","Y","46.761758999999998","0.51250799999999996"
"Cast.Apt.","Castor Aptensis",,"Apt, France","Apta Julia, Gallia Narbonensis","147993","CE 5",,"CE 419",,"Y","Y","43.876570999999998","5.3936840000000004"
"Conc.Araus.II.","Concilium Arausicanum II",,"Orange, France","Arausio, Gallia Narbonensis","148054","CE 6",,,"CE 529","Y","Y","44.137907775000002","4.8073106000000001"
"Floren.","Florentius",,"Orange, France","Arausio, Gallia Narbonensis","148054","CE 6","CE 538","CE 594",,"Y","Y","44.137907775000002","4.8073106000000001"
"P.-Baet.","Paulinus, episcopus Baeterrensis",,"Beziers, France","Baeterrae","148056","CE 5",,,,"Y","Y","43.341676499999998","3.2179410000000002"
"Sedat.","Sedatus Biterrensis",,"Béziers, France","Baeterrae, Gallia Narbonensis","148056","CE 6",,,,"Y","Y","43.341676499999998","3.2179410000000002"
"Dyn.","Dynamius Patricius",,"Marseille, France","Massalia, Gallia Narbonensis","148127","CE 6",,"CE 601",,,"Y","43.296854000000003","5.3824990000000001"
"Sal.Mas.","Salvianus Massiliensis","Salvian","Marseille, France","Massalia, Gallia Narbonensis","148127","CE 5","CE 400-405","CE 426-427",,"Y","Y","43.296854000000003","5.3824990000000001"
"Hon.","Honoratus Massiliensis",,"Marseille, France","Massalia, Gallia Narbonensis","148127","CE 5",,,,"Y","Y","43.296854000000003","5.3824990000000001"
"Lep.Mon.","Leporius Monachus",,"Marseille, France","Massalia, Gallia Narbonensis","148127","CE 5",,,"426 CE","Y",,"43.296854000000003","5.3824990000000001"
"Hon.Mass.","Honoratus Massiliensis",,"Marseille, France","Massalia, Gallia Narbonensis","148127","CE 5",,,,"Y","Y","43.296854000000003","5.3824990000000001"
"Sal.Mas.","PL53(173); CPL487; CSEL8(224-316); MGHi1(108)","Salvian","Marseille, France","Massalia, Gallia Narbonensis","148127","CE 5","CE 400-405","CE 426-427",,"Y","Y","43.296854000000003","5.3824990000000001"
"Gennad.","Gennadius Massiliensis",,"Marseille, France","Massalia, Gallia Narbonensis","148127","CE 5",,,,"Y","Y","43.296854000000003","5.3824990000000001"
"Ioh.-Arel.","Iohannes Arelatensis",,"Arles, France","Arelate, Gallia Narbonensis","148217","CE 6",,,,"Y","Y","43.677616","4.6307989999999997"
"Caes.-Arel.","Caesarius Eiscopus Arelatensis",,"Arles, France","Arelate, Gallia Narbonensis","148217","CE 6","c. CE 470","c. CE 542",,"Y","Y","43.677616","4.6307989999999997"
"Hilar.-Arel.","Hilarius Arelatensis",,"Arles, France","Arelate","148217","CE 5","c. CE 429","c. CE 440","CE 5","Y","Y","43.677616","4.6307989999999997"
"Rust.","Rusticus Helpidius",,"Arles, France (Where he wrote)","Arelate, Gallia Narbonensis","148217","CE 5",,,,"Y","Y","43.677616","4.6307989999999997"
"Caes.-Arel.","Caesarius Arelatensis","St. Caesarius of Arles","Arles, France","Arelate, Gallia Narbonensis","148217","CE 6","c. CE 468","CE 542",,"Y","Y","43.677616","4.6307989999999997"
"Aurelian.","Aurelianus Arelatensis",,"Arles, France","Arelate, Gallia Narbonensis","148217","CE 6",,,"CE 546-551","Y","Y","43.677616","4.6307989999999997"
"Faust.-R.","Faustus Rhegiensis",,"Riez, France","Alebaece Reiorum, Gallia Narbonensis","157805","CE 5","CE 410","c. CE 495","c. CE 455-480","Y","Y","43.818613999999997","6.0907179999999999"
"Valer.Cem.","Valerianus Cemeliensis",,"Cimiez, France","Cemenelum, Alpes Maritimae","157834","CE 5",,,,"Y",,"43.719539266699996","7.2756341666999997"
"Drep.","Drepanius Florus",,"Lyon, France","Lugdunum, Gallia Lugdunensis","167717","CE 4",,,,"Y","Y","45.762095774999999","4.8224380250000003"
"Sid","Gaius Sollius Modestus Apollinaris Sidonius","Sidonius Apolinaris","Lyon, France","Lugdunum, Gallia Lugdunensis","167717","CE 5","c. CE 431","c. CE 486",,"Y","Y","45.762095774999999","4.8224380250000003"
"Sid.","Gaius Sollius Modestus Apollinaris Sidonius","Sidonius Apolinaris","Lyon, France","Lugdunum, Gallia Lugdunensis","167717","CE 5","c. CE 431","c. CE 486",,"Y","Y","45.762095774999999","4.8224380250000003"
"Flav.Gun.","Flavius Gundobadus",,"Lyon","Col. Lugdunum","167717","CE 6",,,"CE 473 - 516","Y",,"45.762095774999999","4.8224380250000003"
"Claud.Caes.","Claudius Caesar",,"Lyon, France","Lugdunum, Gallia","167717","CE 1",,,,,,"45.762095774999999","4.8224380250000003"
"Viventiol.","Viventiolus",,"Lyon, France","Lugdunum, Gallia Lugdunensis","167717","CE 6",,,,"Y","Y","45.762095774999999","4.8224380250000003"
"Eucher.","Eucherius Lugdunensis",,"Lyon, France","Lugdunum, Gallia Lugdunensis","167717","CE 5","c. CE 380","c. CE 450","c. CE 428-450","Y","Y","45.762095774999999","4.8224380250000003"
"Eucher.","Eucherius Episcopus Lugdunensis",,"Lyon, France","Lugdunum, Gallia Lugdunensis","167717","CE 5","c. CE 380","c. CE 450","c. CE 428-450","Y","Y","45.762095774999999","4.8224380250000003"
"Mamert.","Claudianus Mamertus",,"Vienne, France","Vienna, Gallia Narbonensis","167719","CE 5",,"c. CE 470",,"Y","Y","45.524510499999998","4.8759819999999996"
"Salon.","Salonius Viennensis",,"Vienne, France","Vienna, Gallia Narbonensis","167719","CE 5",,,,"Y",,"45.524510499999998","4.8759819999999996"
"Alcim.","Alcimus Ecdicius Auitus",,"Vienne","Col. Vienna","167719","CE 5-6",,"CE 518",,"Y","Y","45.524510499999998","4.8759819999999996"
"Av.Vien.","Avitus Viennensis",,"Vienne, France","Vienna, Gallia Narbonensis","167719","CE 5","CE 450","CE 518","CE 490-","Y","Y","45.524510499999998","4.8759819999999996"
"Ambr(Ps).","Ambrosius Mediolanensis Episcopus","Ambrose, St. ","Milan, Italy","Mediolanum, Italia","172148","4th","CE 340 - 397",,,,"Y",,
"War.","Warnaharius Lingonensis",,"Langres, France","Andematunnum, Germania Superior","177441","CE 7",,,,"Y","Y","47.864221000000001","5.3352139999999997"
"Eum.","Eumenius Augustodunensis",,"Autun, France","Augustodunum, Gallia Lugdunensis","177460","CE 3",,,,"Y","Y","46.947240000000001","4.2991774999999999"
"Iuvc(Ps).","Aquilinus Iuvencus Incertus",,"Autun, France","Augustodunum","177460","CE 4",,,,"Y","Y","46.947240000000001","4.2991774999999999"
"Germ.","Germanus Parisiensis",,"Autun, France","Augustodunum, Gallia Lugdunensis","177460","CE 6",,,,"Y","Y","46.947240000000001","4.2991774999999999"
"Mar.-Avent.","Marius Aventicensis",,"Avenches, Switzerland","Aventicum, Germania Superior","177495","CE 6",,,,"Y","Y","46.88008","7.0407103332999998"
"Prot.","Protadius Vesuntinus",,"Besançon, France","Vesontio, Germania Superior","177657","CE 7",,,,,"Y","47.235869899999997","6.0290724999999998"
"Ruf(Ps).","Rufinus, Ps.","Rufinus Tyrannius","Comune di Aquileia, Italy","Aquileia, Italia","187290","CE 4",,,"c. 345 - 411","Y","Y","45.769210666699998","13.368863666699999"
"Ruf(Ps).","Rufinus De Aquileia (Ps)","Rufinus Tyrannius","Comune di Aquileia, Italy","Aquileia, Italia","187290","CE 4",,,"c. 345 - 411","Y","Y","45.769210666699998","13.368863666699999"
"Ruf(Ps).","Rufinus Aquilieiensis (Incertus)","Rufinus Tyrannius","Comune di Aquileia, Italy","Aquileia, Italia","187290","CE 4",,,"c. 345 - 411","Y","Y","45.769210666699998","13.368863666699999"
"Chromat(Ps).","Chromatius Aquileiensis (Incertus)","St. Chromatius","Comune di Aquileia, Italy","Aquileia, Italia","187290","CE 4","d. CE 407",,"c. CE 388 - 407","Y","Y","45.769210666699998","13.368863666699999"
"Chromat.","Chromatius Aquileiensis",,"Austria","Noricum","187490/981538","CE 5",,,,"Y",,,
"Vib.Max.","Vibius Maximus",,"Dalmacija, Croatia / Rome, Italy","Dalmatia / Roma, Italia","197240 / 423025","CE 1",,,,,,,
"Victor.-Petav","Victorinus Petavionensis / Victorinus Poetovionensis",,"Ptuj, Slovenia","Poetovio, Pannonia Superior","197446","CE 3",,,,"Y","Y","46.417606999999997","15.858840000000001"
,"Passio S. Quirini Sisciani",,"Sisak, Croatia","Segestica/Siscia","197504",,,,,,,"45.483167999999999","16.371388"
"Hier.","Hieronymus Stridonensis ","Jerome, St","Near Ljubljana, Slovenia","Stridon (near Labacum), Dalmatia","203160","CE 4","c. CE 347-420","CE 419/420",,"Y","Y",,
"Hier(Ps).","Hieronymus Stridonensis (Ps.) ","Jerome, St","undetermined","Stridon, Provincia Dalmatia","203160","CE 4","c. CE 347-420",,,"Y","Y",,
"Hier.Strid.","Hieronymus Stridonensis","St. Jerome","Near Ljubljana, Slovenia","Stridon (near Labacum), Dalmatia","203160","CE 4",,"CE 419/420",,"Y","Y",,
"Hier.","Hieronymus Stridonensis (Incertus)","Jerome, St.","undetermined","Stridon, Provincia Dalmatia","203160","CE 4","c. CE 347-420",,,"Y","Y",,
"Hier.","Hieronymus Stridonensis","Jerome, St.","Deshna, Egypt / Near Ljubljana, Slovenia","Stridon (near Labacum), Dalmatia","203160","CE 4","c. CE 347-420","CE 419/420",,"Y","Y",,
"Hier(Ps).","Hieronymus Stridonensis (Incertus)","Jerome, St","undetermined","Stridon, Provincia Dalmatia","203160","CE 4","c. CE 347-420",,,"Y","Y",,
"Hier(Ps).","Origenes - Hieronymus Stridonensis (Incertus)","Jerome, St","undetermined","Stridon, Provincia Dalmatia","203160","CE 4","c. CE 347-420",,,"Y","Y",,
"Hier./AI.","Hieronymus Stridonensis/Auctor Incertus","St. Jerome","Near Ljubljana, Slovenia","Stridon (near Labacum), Dalmatia","203160",,,,,,,,
"Fastid.","Fastidius Britanniae",,"Britain","Britannia","20419 (Britannia)","CE 5",,,,,,,
"Ethel.","Ethelbertus Anglorum",,"SE England","Regnum Cantuariorum (Kingdom of Kent), Britannia","20419 (Britannia)","CE 6",,,,"Y","Y",,
"Sed.-S.","Sedulius Scotus",,"Ireland","Hibernia","20487","CE 9",,,"CE 848-847",,"Y","53.273976815200001","-7.4277829850000003"
"Secund.Hib.","Secundinus Hibernensis",,"Ireland","Hibernia","20487","CE 5",,,,"Y",,"53.273976815200001","-7.4277829850000003"
"Columb.","Columbanus Hibernus","St. Columban","Ireland","Hibernia","20487","CE 6","CE 543","CE 615",,"Y","Y","53.273976815200001","-7.4277829850000003"
"Cog.","Cogitos",,"Ireland","Hibernia","20487","CE 7",,,,"Y","Y","53.273976815200001","-7.4277829850000003"
"Arn(Ps).","Arnobius iunior, Ps."," ","Ireland","Hibernia","20487",,,,,"Y","Y","53.273976815200001","-7.4277829850000003"
"Patric.","Patricius Hibernae",,"Ireland","Hibernia","20487","CE 5",,,,"Y",,"53.273976815200001","-7.4277829850000003"
"Patric./Aux./Iss.","Patricius Hibernae/Auxilius/Isserninus",,"Ireland","Hibernia","20487","CE 5",,,,"Y",,"53.273976815200001","-7.4277829850000003"
"Nicet.-R.","Nicetas Episcopus Remesianensis",,"Mokra, Serbia","Remesiana, Moesia Superior","207382","CE 4","CE 335","CE 414",,"Y","Y","43.214499000000004","22.293498"
,"Passio S. Irenaei episcopi Sirmiensis",," ","Sirmium","207447",,,,,,,"44.966447000000002","19.610105999999998"
,"Passio S. Sereni Sirmiensis",,,"Sirmium","207447",,,,,,,"44.966447000000002","19.610105999999998"
,"Passio S. Iulii veterani Durostorensis",,"Silistra","Durostorum","216800",,,,,,,"44.119107999999997","27.260103000000001"
"Dion.-Ex.","Dionysius Exiguus",,"Dobruja, Romania","Roma, Italia","216976","CE 6","CE 470","CE 554","CE 500-545","Y","Y","44.5","28.5"
"Idat.","Idatius Aquae Flaviensis",,"Chaves, Portugal","Aquae Flaviae, Hispania Tarraconensis","236334","CE 5",,,,"Y","Y","41.740349999999999","-7.4700075000000004"
