Source,Target,Type,id,label,timeset,weight
14,37,Undirected,594,,,4.0
14,38,Undirected,595,,,4.0
14,39,Undirected,596,,,4.0
14,40,Undirected,597,,,4.0
14,41,Undirected,598,,,4.0
14,42,Undirected,599,,,4.0
14,43,Undirected,600,,,4.0
14,44,Undirected,601,,,4.0
14,45,Undirected,602,,,4.0
14,46,Undirected,603,,,4.0
14,47,Undirected,604,,,4.0
14,48,Undirected,605,,,4.0
14,49,Undirected,606,,,4.0
14,50,Undirected,607,,,4.0
14,51,Undirected,608,,,4.0
14,52,Undirected,609,,,4.0
14,53,Undirected,610,,,4.0
14,54,Undirected,611,,,4.0
14,55,Undirected,612,,,4.0
14,56,Undirected,613,,,4.0
14,57,Undirected,614,,,4.0
14,58,Undirected,615,,,4.0
14,59,Undirected,616,,,4.0
14,60,Undirected,617,,,4.0
14,61,Undirected,618,,,4.0
14,62,Undirected,619,,,4.0
14,63,Undirected,620,,,4.0
14,64,Undirected,621,,,4.0
14,65,Undirected,622,,,4.0
14,66,Undirected,623,,,4.0
14,67,Undirected,624,,,4.0
14,68,Undirected,625,,,4.0
14,69,Undirected,626,,,4.0
14,70,Undirected,627,,,4.0
15,7,Undirected,628,,,4.0
15,8,Undirected,629,,,4.0
15,9,Undirected,630,,,4.0
15,10,Undirected,631,,,4.0
15,11,Undirected,632,,,4.0
15,12,Undirected,633,,,4.0
15,13,Undirected,634,,,4.0
15,14,Undirected,635,,,4.0
15,15,Undirected,636,,,4.0
15,16,Undirected,637,,,4.0
15,17,Undirected,638,,,4.0
15,18,Undirected,639,,,4.0
15,19,Undirected,640,,,4.0
15,20,Undirected,641,,,4.0
15,21,Undirected,642,,,4.0
15,22,Undirected,643,,,4.0
15,23,Undirected,644,,,4.0
15,24,Undirected,645,,,4.0
15,25,Undirected,646,,,4.0
15,26,Undirected,647,,,4.0
15,27,Undirected,648,,,4.0
15,28,Undirected,649,,,4.0
15,29,Undirected,650,,,4.0
15,30,Undirected,651,,,4.0
15,31,Undirected,652,,,4.0
15,32,Undirected,653,,,4.0
15,33,Undirected,654,,,4.0
15,34,Undirected,655,,,4.0
15,35,Undirected,656,,,4.0
15,36,Undirected,657,,,4.0
15,37,Undirected,658,,,4.0
15,38,Undirected,659,,,4.0
15,39,Undirected,660,,,4.0
15,40,Undirected,661,,,4.0
15,41,Undirected,662,,,4.0
15,42,Undirected,663,,,4.0
15,43,Undirected,664,,,4.0
15,44,Undirected,665,,,4.0
15,45,Undirected,666,,,4.0
